ID,Thuật toán,Tham số,Chi phí tốt nhất,Chi phí trung bình,Thời gian (s)
1,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,982.63,1054.19,0.59
323,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=insert, local_search=False,986.27,1116.14,0.54
324,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=insert, local_search=False,986.27,1116.27,0.53
325,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=True,982.63,1048.90,0.94
326,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=True,982.63,1065.48,0.66
327,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=True,982.63,1089.44,0.44
328,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=False,1024.88,1123.31,0.48
329,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=False,1002.01,1090.92,0.34
330,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=False,1040.47,1090.26,0.72
331,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=True,1039.24,1114.55,0.44
332,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=True,1000.79,1043.16,0.75
333,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=True,1064.44,1105.82,0.80
334,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=False,982.63,1050.84,0.63
335,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=False,1060.60,1135.18,0.49
336,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=False,986.27,1074.78,0.50
337,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=True,982.63,1056.32,0.71
338,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=True,1029.29,1083.87,0.75
339,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=True,1031.80,1126.12,0.45
340,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=False,1046.89,1137.15,0.34
341,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=False,1056.21,1102.67,0.45
342,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=False,1056.21,1132.88,0.32
343,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=True,982.63,1050.04,0.58
344,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=True,1006.98,1075.78,1.04
345,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=True,999.12,1068.02,0.42
346,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=False,982.63,1075.71,0.83
347,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=False,986.27,1069.94,0.43
348,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=False,999.18,1072.91,0.61
349,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=True,1032.52,1138.94,0.57
350,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=True,1075.30,1183.38,0.51
351,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=True,1025.32,1118.45,0.69
352,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=False,986.27,1099.84,0.44
353,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=False,982.63,1068.71,0.45
354,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=False,1150.70,1209.38,0.42
355,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=True,986.27,1113.80,0.52
356,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=True,982.63,1052.76,0.64
357,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=True,986.27,1131.31,0.49
358,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=False,1013.94,1134.48,0.51
359,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=False,1116.00,1166.57,0.32
360,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=False,982.63,1063.52,0.49
361,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=True,991.17,1091.18,1.01
362,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=True,986.27,1087.46,0.83
363,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=True,982.63,1083.82,0.38
364,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=False,1025.32,1119.25,0.55
365,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=False,982.63,1060.29,0.69
366,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=False,1029.29,1114.06,0.61
367,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=True,982.63,1072.86,0.68
368,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=True,982.63,1105.87,0.48
369,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=True,982.63,1084.04,0.85
370,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=False,1064.44,1140.88,0.77
371,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=False,982.63,1057.13,0.69
372,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=False,982.63,1079.46,0.66
373,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=True,986.27,1094.29,0.64
374,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=True,986.27,1080.53,0.45
375,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=True,1039.24,1132.46,0.52
376,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=False,982.63,1124.29,0.66
377,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=False,986.27,1103.61,0.63
378,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=inversion, local_search=False,999.18,1116.53,0.47
379,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=True,986.27,1054.47,0.63
380,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=True,982.63,1073.95,0.47
381,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=True,1096.53,1131.33,0.62
382,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=False,986.27,1046.18,0.55
383,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=False,1090.41,1144.78,0.32
384,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=False,1045.16,1123.68,0.30
385,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=True,1025.32,1092.22,0.61
386,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=True,999.18,1054.39,1.02
387,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=True,999.18,1051.42,0.80
388,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=False,1024.88,1099.55,0.49
389,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=False,1029.29,1071.76,1.01
390,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=False,1041.89,1107.56,0.46
391,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=True,982.63,1097.27,0.54
392,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=True,1032.52,1095.05,0.53
393,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=True,1039.24,1117.65,0.40
394,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=False,1045.04,1116.25,0.39
395,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=False,999.12,1052.05,0.64
396,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=False,1032.52,1107.43,0.35
397,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=True,982.63,1070.14,0.96
398,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=True,982.63,1052.08,0.86
399,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=True,982.63,1042.47,0.75
400,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=False,986.27,1085.58,0.90
401,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=False,1063.96,1113.15,0.62
402,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=False,1029.29,1099.70,0.40
403,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=True,986.27,1101.49,0.53
404,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=True,986.27,1078.54,0.54
405,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=True,1024.88,1095.22,1.15
406,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=False,986.27,1090.07,0.55
407,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=False,1025.32,1107.17,0.40
408,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=False,982.63,1094.59,0.67
409,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=True,1059.18,1134.60,0.50
410,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=True,982.63,1065.33,0.56
411,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=True,986.27,1085.89,0.89
412,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=False,986.27,1110.49,0.61
413,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=False,1029.29,1088.60,0.70
414,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=False,996.95,1098.77,0.46
415,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=True,982.63,1077.12,1.09
416,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=True,982.63,1066.78,1.14
417,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=True,986.27,1079.96,0.71
418,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=False,982.63,1092.64,0.62
419,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=False,991.17,1109.28,0.52
420,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=False,1039.24,1122.85,0.60
421,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=True,986.27,1105.47,0.39
422,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=True,982.63,1058.66,0.80
423,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=True,982.63,1077.80,0.42
424,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=False,982.63,1108.20,0.48
425,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=False,982.63,1072.01,0.92
426,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=False,982.63,1086.51,0.46
427,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=True,982.63,1105.25,0.80
428,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=True,982.63,1072.76,0.83
429,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=True,1039.24,1113.57,0.49
430,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=False,982.63,1099.22,0.67
431,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=False,1031.80,1148.26,0.54
432,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=partially_mapped, mutation_method=swap, local_search=False,1039.24,1131.38,0.60
433,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=True,1136.56,1176.21,0.42
434,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=True,1043.76,1104.45,0.94
435,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=True,1053.58,1118.81,1.14
436,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=False,1031.80,1095.96,1.01
437,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=False,1140.40,1164.76,0.50
438,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=False,1202.88,1228.43,0.36
439,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=True,1124.79,1151.80,0.40
440,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=True,1122.19,1156.43,0.38
441,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=True,1000.12,1044.50,0.42
442,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=False,1085.96,1145.13,0.90
443,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=False,1124.92,1153.16,0.61
444,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=False,1109.13,1144.76,0.54
445,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=True,1079.78,1122.53,0.43
446,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=True,1042.81,1101.92,1.00
447,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=True,1143.68,1176.88,0.32
448,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=False,986.27,1048.06,1.22
449,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=False,1046.39,1094.83,0.36
450,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=False,1039.24,1088.23,0.36
451,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=True,1031.80,1094.24,0.69
452,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=True,982.63,1082.24,0.66
453,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=True,991.17,1063.96,0.43
454,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=False,1089.87,1147.96,0.72
455,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=False,986.27,1071.79,0.69
456,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=False,1064.44,1105.15,0.33
457,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=True,1031.80,1109.43,0.75
458,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=True,1040.47,1090.15,0.48
459,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=True,1025.32,1095.42,1.27
460,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=False,1060.08,1131.13,0.63
461,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=False,1093.51,1156.56,0.66
462,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=False,1040.47,1085.31,0.86
463,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=True,1134.06,1182.92,0.45
464,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=True,1038.70,1097.61,0.37
465,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=True,1116.00,1157.14,0.37
466,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=False,1025.32,1137.85,0.95
467,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=False,999.12,1073.87,0.52
468,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=False,1029.29,1091.07,1.10
469,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=True,1039.24,1118.65,0.78
470,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=True,1025.32,1093.19,1.02
471,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=True,982.63,1074.68,0.56
472,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=False,982.63,1111.89,1.12
473,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=False,986.27,1078.86,0.46
474,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=False,982.63,1081.09,0.43
475,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=True,982.63,1068.75,0.66
476,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=True,982.63,1059.00,0.86
477,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=True,1089.87,1144.01,0.67
478,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=False,1037.87,1103.32,0.64
479,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=False,1039.24,1099.35,0.40
480,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=False,1045.16,1122.42,0.73
481,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=True,982.63,1066.15,1.03
482,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=True,1053.58,1141.56,1.42
483,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=True,982.63,1107.59,0.98
484,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=False,982.63,1119.17,0.86
485,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=False,1040.47,1124.77,0.73
486,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=cycle, mutation_method=swap, local_search=False,982.63,1058.38,0.69
487,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=cycle, mutation_method=insert, local_search=True,1031.80,1083.67,0.35
488,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=cycle, mutation_method=insert, local_search=True,1160.56,1189.60,0.36
489,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=cycle, mutation_method=insert, local_search=True,1148.14,1177.93,0.52
